Code,Display Name (editable),Native Name (Display),ISO English name of Language,ISO 639-2 Code,RTL,Comments
smi,Sami languages,,Sami languages,smi,No,
smj,Lule Sami,,Lule Sami,smj,No,
smn,Inari Sami,,Inari Sami,smn,No,
sms,Skolt Sami,,Skolt Sami,sms,No,
snk,Soninke,,Soninke,snk,No,
sog,Sogdian,,Sogdian,sog,No,
son,Songhai languages,,Songhai languages,son,No,
srn,Sranan Tongo,,Sranan Tongo,srn,No,
srr,Serer,,Serer,srr,No,
ssa,Nilo-Saharan languages,,Nilo-Saharan languages,ssa,No,
suk,Sukuma,,Sukuma,suk,No,
sus,Susu,,Susu,sus,No,
sux,Sumerian,,Sumerian,sux,No,
syc,Classical Syriac,,Classical Syriac,syc,No,
syr,Syriac,,Syriac,syr,No,
tai,Tai languages,,Tai languages,tai,No,
tem,Timne,,Timne,tem,No,
ter,Tereno,,Tereno,ter,No,
tet,Tetum,,Tetum,tet,No,
tig,Tigre,,Tigre,tig,No,
tiv,Tiv,,Tiv,tiv,No,
tkl,Tokelau,,Tokelau,tkl,No,
tlh,Klingon; tlhIngan-Hol,,Klingon; tlhIngan-Hol,tlh,No,
tli,Tlingit,,Tlingit,tli,No,
tmh,Tamashek,,Tamashek,tmh,No,
tog,Tonga (Nyasa),,Tonga (Nyasa),tog,No,
tpi,Tok Pisin,,Tok Pisin,tpi,No,
tsi,Tsimshian,,Tsimshian,tsi,No,
tum,Tumbuka,,Tumbuka,tum,No,
tup,Tupi languages,,Tupi languages,tup,No,
tut,Altaic languages,,Altaic languages,tut,No,
tvl,Tuvalu,,Tuvalu,tvl,No,
tyv,Tuvinian,,Tuvinian,tyv,No,
udm,Udmurt,,Udmurt,udm,No,
uga,Ugaritic,,Ugaritic,uga,No,
umb,Umbundu,,Umbundu,umb,No,
und,Undetermined,,Undetermined,und,No,
vai,Vai,,Vai,vai,No,
vot,Votic,,Votic,vot,No,
wak,Wakashan languages,,Wakashan languages,wak,No,
wal,Wolaitta; Wolaytta,,Wolaitta; Wolaytta,wal,No,
war,Waray,,Waray,war,No,
was,Washo,,Washo,was,No,
wen,Sorbian languages,,Sorbian languages,wen,No,
xal,Kalmyk; Oirat,,Kalmyk; Oirat,xal,No,
yao,Yao,,Yao,yao,No,
yap,Yapese,,Yapese,yap,No,
ypk,Yupik languages,,Yupik languages,ypk,No,
zap,Zapotec,,Zapotec,zap,No,
zbl,Blissymbols; Blissymbolics; Bliss,,Blissymbols; Blissymbolics; Bliss,zbl,No,
zen,Zenaga,,Zenaga,zen,No,
zgh,Standard Moroccan Tamazight,,Standard Moroccan Tamazight,zgh,No,
znd,Zande languages,,Zande languages,znd,No,
zun,Zuni,,Zuni,zun,No,
zxx,No linguistic content; Not applicable,,No linguistic content; Not applicable,zxx,No,
zza,Zaza; Dimili; Dimli; Kirdki; Kirmanjki; Zazaki,,Zaza; Dimili; Dimli; Kirdki; Kirmanjki; Zazaki,zza,No,
