Name,Native Name (endonym),ISO language name,Code (639-1),ISO endonym,RTL,Language family,639-1,639-2/T,639-2/B,639-3,Notes
Chinese,"中文 (Zhōngwén), 汉语, 漢語",Chinese,zh,"中文 (Zhōngwén), 汉语, 漢語",No,Sino-Tibetan,zh,zho,chi,zho + 16,macrolanguage
Dzongkha,རྫོང་ཁ,Dzongkha,dz,རྫོང་ཁ,No,Sino-Tibetan,dz,dzo,dzo,dzo,
"Sichuan Yi, Nuosu",ꆈꌠ꒿ Nuosuhxop,"Sichuan Yi, Nuosu",ii,ꆈꌠ꒿ Nuosuhxop,No,Sino-Tibetan,ii,iii,iii,iii,Standard form of Yi languages
Tibetan,བོད་ཡིག,Tibetan,bo,བོད་ཡིག,No,Sino-Tibetan,bo,bod,tib,bod,also known as Standard Tibetan
Lao,ພາສາລາວ,Lao,lo,ພາສາລາວ,No,Tai–Kadai,lo,lao,lao,lao,
Thai,ไทย,Thai,th,ไทย,No,Tai–Kadai,th,tha,tha,tha,
"Zhuang, Chuang","Saɯ cueŋƅ, Saw cuengh","Zhuang, Chuang",za,"Saɯ cueŋƅ, Saw cuengh",No,Tai–Kadai,za,zha,zha,zha + 16,macrolanguage
Guarani,Avañe'ẽ,Guarani,gn,Avañe'ẽ,No,Tupian,gn,grn,grn,grn + 5,macrolanguage
Azerbaijani,azərbaycan dili,Azerbaijani,az,azərbaycan dili,No,Turkic,az,aze,aze,aze + 2,macrolanguage
Bashkir,башҡорт теле,Bashkir,ba,башҡорт теле,No,Turkic,ba,bak,bak,bak,
Chuvash,чӑваш чӗлхи,Chuvash,cv,чӑваш чӗлхи,No,Turkic,cv,chv,chv,chv,
Kazakh,қазақ тілі,Kazakh,kk,қазақ тілі,No,Turkic,kk,kaz,kaz,kaz,
"Kirghiz, Kyrgyz","Кыргызча, Кыргыз тили","Kirghiz, Kyrgyz",ky,"Кыргызча, Кыргыз тили",No,Turkic,ky,kir,kir,kir,
Turkmen,"Türkmen, Түркмен",Turkmen,tk,"Türkmen, Түркмен",No,Turkic,tk,tuk,tuk,tuk,
Turkish,Türkçe,Turkish,tr,Türkçe,No,Turkic,tr,tur,tur,tur,
Tatar,"татар теле, tatar tele",Tatar,tt,"татар теле, tatar tele",No,Turkic,tt,tat,tat,tat,
"Uighur, Uyghur","ئۇيغۇرچە‎, Uyghurche","Uighur, Uyghur",ug,"ئۇيغۇرچە‎, Uyghurche",Yes,Turkic,ug,uig,uig,uig,
Uzbek,"Oʻzbek, Ўзбек, أۇزبېك‎",Uzbek,uz,"Oʻzbek, Ўзбек, أۇزبېك‎",No,Turkic,uz,uzb,uzb,uzb + 2,macrolanguage
Estonian,"eesti, eesti keel",Estonian,et,"eesti, eesti keel",No,Uralic,et,est,est,est + 2,macrolanguage
Finnish,Suomi,Finnish,fi,"suomi, suomen kieli",No,Uralic,fi,fin,fin,fin,
Hungarian,magyar,Hungarian,hu,magyar,No,Uralic,hu,hun,hun,hun,
Komi,коми кыв,Komi,kv,коми кыв,No,Uralic,kv,kom,kom,kom + 2,macrolanguage
Northern Sami,Davvisámegiella,Northern Sami,se,Davvisámegiella,No,Uralic,se,sme,sme,sme,
